baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YPK_0001	5.85195343071648	1.13429972373811	1.08102892321846	1.04927786794183	0.294050249153126	NA
YPK_0002	8.91150987589787	-0.443235129410363	0.794341100200397	-0.557990930216934	0.576850577528805	NA
YPK_0003	1.13249894589606	2.25795180255907	2.74651933750364	0.822113928610225	0.411012058905481	NA
YPK_0004	28.6753585185698	-0.20781960259765	0.465631885670268	-0.446317378584368	0.655368004619543	0.856034429486764
YPK_0005	1.69296702986552	0.973781827561222	1.82672015395336	0.533076632156151	0.593980534251609	NA
YPK_0006	0.618803897436255	-0.344707781665625	3.38283599151836	-0.101899052312881	0.918836802193133	NA
YPK_0007	0.991095324321866	3.2609343211142	2.76225878514388	1.18053179472261	0.237788772554402	NA
YPK_0008	3.67783252128879	-0.679439130754472	1.19623463834855	-0.567981488725709	0.57004753754614	NA
YPK_0009	1.91512773592934	3.08333496574298	2.13066138832318	1.4471257528957	0.147861706460683	NA
YPK_0010	1.3923928283273	3.75355792691733	2.48243571272137	1.51204637754848	0.130522064693843	NA
YPK_0011	5.97516879863708	-1.67028093075449	1.02150248872928	-1.6351217438856	0.10202352880397	NA
YPK_0012	13.6259086604341	-1.26013253407853	0.749550122893991	-1.6811851477166	0.0927269574659621	0.368153563800503
YPK_0013	6.95940027952754	2.46514351828863	1.12983375099617	2.18186393893361	0.0291195759600666	NA
YPK_0014	1.07145061142141	2.09801870787373	2.55332099777522	0.821682314797785	0.411257727050041	NA
YPK_0015	0	NA	NA	NA	NA	NA
YPK_0016	7.52195125219218	-1.48990550901102	0.892041502932576	-1.67021994392971	0.0948758554835755	NA
YPK_0017	7.28854555893655	-0.915501040545513	1.02981814956423	-0.888992916791094	0.374006886563807	NA
YPK_0018	0	NA	NA	NA	NA	NA
YPK_0019	2.19484718764489	4.41187476071905	2.13309041818607	2.06830180432333	0.0386116522125774	NA
YPK_0020	1.0215402764779	-1.43388384694996	2.41330101263253	-0.594158722614473	0.552405957833308	NA
YPK_0021	0.172219115855139	-1.37566717532022	4.0804728567969	-0.337134254680496	0.736015695917115	NA
YPK_0022	2.81685769394734	-0.263738860088396	1.38336399778119	-0.19065037149399	0.848799523183559	NA
YPK_0023	14.0932682747901	0.235287310788303	0.669328719267583	0.351527289977588	0.725192802749445	0.886592420434534
YPK_0024	4.69978976237639	0.593341484534146	1.10110057493687	0.538862205723728	0.589981937260424	NA
YPK_0025	6.85951709911019	1.14166005153139	1.0260924660798	1.1126288217407	0.265867876735187	NA
YPK_0026	13.8889753932358	-4.23914384913235	0.918264866759449	-4.61647178563225	3.9031905988405e-06	0.00026086323835584
YPK_0027	8.39351140124809	-2.12792396087965	0.957315005451367	-2.22280435255096	0.0262289954736269	NA
YPK_0028	1.3893762808277	-3.0613023174568	2.22979914027147	-1.37290496806098	0.169781891933107	NA
YPK_0029	0.481621064573266	-1.20885884724296	3.72873415148872	-0.324200867675244	0.745785965216578	NA
YPK_0030	15.5842147790369	-0.826509568802872	0.614350450482863	-1.34533891552168	0.178515811788792	0.490307126899352
YPK_0031	4.14646570923518	2.13676921244554	1.30399148278361	1.63863739959729	0.101288798513898	NA
YPK_0032	0.137175019046696	0.54788617632227	4.0804728567969	0.134270266106451	0.893188864515301	NA
YPK_0033	0	NA	NA	NA	NA	NA
YPK_0034	0.294930165423387	1.50449837791527	4.03248825549771	0.37309429875316	0.709078261773373	NA
YPK_0035	7.84021809352437	-1.05196292631843	0.878994153972772	-1.19678034440149	0.231392181390499	NA
YPK_0036	7.79703836943256	0.275302108594385	0.862814661021954	0.319074444410003	0.749670062011204	NA
YPK_0037	10.8045546139324	1.07130268709979	0.840521128919822	1.27456960954277	0.202461619848516	NA
YPK_0038	8.28853801225187	-0.354320326775656	0.891274700160918	-0.397543346301296	0.690966828679691	NA
YPK_0039	4.42057329968767	0.528266330746844	1.22761656257078	0.430318673479438	0.666963845319549	NA
YPK_0040	1.92927252255	-1.86434671852116	1.75217851936895	-1.0640164217928	0.287321260359489	NA
YPK_0041	4.76364104620748	0.160767178309582	1.04907364934281	0.153246798649737	0.87820365351182	NA
