baseMean	log2FoldChange	lfcSE	pvalue	padj
YPK_0001	5.85195343071648	0.0884017620482858	0.31452702021225	0.294050249153126	NA
YPK_0002	8.91150987589787	-0.058783400460069	0.294690518158306	0.576850577528805	NA
YPK_0003	1.13249894589606	0.0265342433424651	0.308982666000478	0.411012058905481	NA
YPK_0004	28.6753585185698	-0.0640718811190227	0.263074507826587	0.655368004619543	0.856034429486764
YPK_0005	1.69296702986552	0.0270893771238355	0.306204073340206	0.593980534251609	NA
YPK_0006	0.618803897436255	-0.00292626554174974	0.307460445030631	0.918836802193133	NA
YPK_0007	0.991095324321866	0.0368307401024753	0.311248027527816	0.237788772554402	NA
YPK_0008	3.67783252128879	-0.0423669924304371	0.30307635987101	0.57004753754614	NA
YPK_0009	1.91512773592934	0.0578236293953913	0.314327536286403	0.147861706460683	NA
YPK_0010	1.3923928283273	0.0490102863131618	0.313597589920434	0.130522064693843	NA
YPK_0011	5.97516879863708	-0.151438452431191	0.348526183950389	0.10202352880397	NA
YPK_0012	13.6259086604341	-0.215433370896618	0.383305876800913	0.0927269574659621	0.368153563800503
YPK_0013	6.95940027952754	0.202001177173625	0.399359082807724	0.0291195759600666	NA
YPK_0014	1.07145061142141	0.0274113067618006	0.308689077595269	0.411257727050041	NA
YPK_0015	0	NA	NA	NA	NA
YPK_0016	7.52195125219218	-0.180324792886598	0.364406261380272	0.0948758554835755	NA
YPK_0017	7.28854555893655	-0.0765130312034289	0.308929443545798	0.374006886563807	NA
YPK_0018	0	NA	NA	NA	NA
YPK_0019	2.19484718764489	0.0756285907237944	0.321274428123675	0.0386116522125774	NA
YPK_0020	1.0215402764779	-0.0227119822183289	0.307634768067777	0.552405957833308	NA
YPK_0021	0.172219115855139	-0.0132814163728608	0.308763865271867	0.736015695917115	NA
YPK_0022	2.81685769394734	-0.0123168566512369	0.301699049005969	0.848799523183559	NA
YPK_0023	14.0932682747901	0.0419797346316579	0.283538827018513	0.725192802749445	0.886592420434534
YPK_0024	4.69978976237639	0.0438151178650417	0.301519380354558	0.589981937260424	NA
