Count,Conditions
1.6094379,sampleTreat_1.sam
1.9459101,sampleTreat_1.sam
NA,sampleTreat_1.sam
3.2958369,sampleTreat_1.sam
0.6931472,sampleTreat_1.sam
NA,sampleTreat_1.sam
1.3862944,sampleTreat_1.sam
1.3862944,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
0.6931472,sampleTreat_1.sam
2.0794415,sampleTreat_1.sam
2.6390573,sampleTreat_1.sam
0.6931472,sampleTreat_1.sam
NA,sampleTreat_1.sam
1.7917595,sampleTreat_1.sam
2.4849066,sampleTreat_1.sam
NA,sampleTreat_1.sam
2.3025851,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
1.3862944,sampleTreat_1.sam
3.0445224,sampleTreat_1.sam
1.6094379,sampleTreat_1.sam
2.8903718,sampleTreat_1.sam
NA,sampleTreat_1.sam
0.6931472,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
2.7080502,sampleTreat_1.sam
2.4849066,sampleTreat_1.sam
0.0000000,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
2.0794415,sampleTreat_1.sam
2.0794415,sampleTreat_1.sam
2.0794415,sampleTreat_1.sam
2.1972246,sampleTreat_1.sam
1.9459101,sampleTreat_1.sam
0.0000000,sampleTreat_1.sam
1.7917595,sampleTreat_1.sam
1.7917595,sampleTreat_1.sam
0.6931472,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
1.3862944,sampleTreat_1.sam
0.0000000,sampleTreat_1.sam
1.3862944,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
0.6931472,sampleTreat_1.sam
2.3978953,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
1.7917595,sampleTreat_1.sam
0.6931472,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
1.3862944,sampleTreat_1.sam
2.4849066,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
1.7917595,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
1.7917595,sampleTreat_1.sam
1.7917595,sampleTreat_1.sam
0.0000000,sampleTreat_1.sam
1.7917595,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
1.7917595,sampleTreat_1.sam
NA,sampleTreat_1.sam
NA,sampleTreat_1.sam
1.3862944,sampleTreat_1.sam
0.0000000,sampleTreat_1.sam
0.0000000,sampleTreat_1.sam
2.6390573,sampleTreat_1.sam
NA,sampleTreat_1.sam
1.3862944,sampleTreat_1.sam
NA,sampleTreat_1.sam
0.6931472,sampleTreat_1.sam
