Geneid,sampleTreat_1.sam,sampleTreat_2.sam,sampleTreat_3.sam,sampleCtrl_1.sam,sampleCtrl_2.sam,sampleCtrl_3.sam
YPK_0001,   5,   4,  19,   2,   6,   2
YPK_0002,   7,  12,   8,   8,  14,   6
YPK_0003,   0,   7,   0,   0,   1,   0
YPK_0004,  27,  40,  28,  34,  30,  19
YPK_0005,   2,   4,   2,   2,   0,   1
YPK_0006,   0,   2,   0,   0,   2,   0
YPK_0007,   4,   0,   3,   0,   0,   0
YPK_0008,   4,   2,   4,   5,   3,   4
YPK_0009,   0,   6,   6,   0,   0,   1
YPK_0010,   0,   8,   2,   0,   0,   0
YPK_0011,   2,   2,   6,   5,   9,  10
YPK_0012,   8,   2,  18,  16,  17,  18
YPK_0013,  14,  12,  16,   0,   6,   0
YPK_0014,   2,   0,   4,   0,   0,   1
YPK_0015,   0,   0,   0,   0,   0,   0
YPK_0016,   6,   2,   6,  11,  12,   7
YPK_0017,  12,   0,   6,   6,  14,   6
YPK_0018,   0,   0,   0,   0,   0,   0
YPK_0019,  10,   6,   0,   0,   0,   0
YPK_0020,   0,   2,   0,   2,   1,   1
YPK_0021,   0,   0,   0,   0,   1,   0
YPK_0022,   4,   1,   4,   2,   2,   4
YPK_0023,  21,  11,  22,   7,  18,  10
YPK_0024,   5,   7,   8,   1,   5,   4
YPK_0025,  18,   8,   8,   4,   8,   0
YPK_0026,   0,   4,   1,  23,  34,  15
YPK_0027,   2,   2,   7,   8,  25,   5
YPK_0028,   0,   1,   0,   1,   5,   1
YPK_0029,   0,   1,   0,   0,   2,   0
YPK_0030,  15,  11,  14,  14,  26,  14
YPK_0031,  12,   5,   7,   2,   0,   2
YPK_0032,   1,   0,   0,   0,   0,   0
YPK_0033,   0,   0,   0,   0,   0,   0
YPK_0034,   0,   0,   2,   0,   0,   0
YPK_0035,   8,   2,   8,  10,   8,  10
YPK_0036,   8,   6,  16,   6,   8,   5
YPK_0037,   8,   9,  34,   7,   9,   3
YPK_0038,   9,   8,   9,   4,  19,   3
YPK_0039,   7,  11,   1,   1,   7,   2
YPK_0040,   1,   2,   0,   3,   2,   3
YPK_0041,   6,   8,   4,   4,   4,   4
YPK_0042,   6,   2,   0,   3,   2,   2
YPK_0043,   2,   4,   4,   0,   2,   3
YPK_0044,   0,   0,   0,   0,   0,   0
YPK_0045,   0,   0,   0,   0,   0,   0
YPK_0046,   0,   0,   0,   0,   0,   0
YPK_0047,   0,   0,   0,   0,   0,   0
YPK_0048,   4,   0,   4,   0,   2,   4
YPK_0049,   1,   4,   4,   0,   3,   1
YPK_0050,   4,   0,   4,   0,   4,   1
YPK_0051,   0,   0,   0,   0,   0,   0
YPK_0052,   0,   0,   0,   0,   0,   0
YPK_0053,   0,   0,   0,   0,   0,   0
YPK_0054,   2,   2,   0,   0,   0,   0
YPK_0055,  11,   4,   4,   4,  12,   2
YPK_0056,   0,   0,   0,   0,   0,   1
YPK_0057,   0,   2,   0,   0,   0,   0
YPK_0058,   0,   0,   0,   0,   0,   0
YPK_0059,   0,   2,   0,   0,   0,   0
YPK_0060,   0,   2,   2,   0,   4,   0
YPK_0061,   6,   3,   0,   2,   6,   2
YPK_0062,   2,   1,   0,   0,   0,   0
YPK_0063,   0,   0,   0,   0,   0,   0
YPK_0064,   0,   0,   0,   0,   0,   0
YPK_0065,   0,   0,   4,   2,   0,   1
YPK_0066,   4,   4,   2,   6,   2,   4
YPK_0067,  12,   6,  10,   2,   2,   8
YPK_0068,   0,   0,   0,   0,   0,   0
YPK_0069,   0,   0,   0,   0,   0,   1
YPK_0070,   0,   0,   0,   0,   0,   2
YPK_0071,   0,   0,   0,   0,   0,   0
YPK_0072,   6,   0,   0,   0,   0,   0
YPK_0073,   0,   0,   0,   0,   0,   0
YPK_0074,   0,   0,   0,   0,   0,   0
YPK_0075,   0,   0,   0,   0,   0,   0
YPK_0076,   0,   0,   0,   0,   0,   0
YPK_0077,   0,   0,   0,   0,   0,   0
YPK_0078,   0,   0,   2,   0,   0,   0
YPK_0079,   0,   2,   2,   0,   4,   1
YPK_0080,   6,   0,   0,   1,   2,   1
YPK_0081,   6,   3,   0,   0,   1,   0
YPK_0082,   1,   2,   3,   2,  10,   3
YPK_0083,   6,   2,  14,   2,   6,   3
YPK_0085,   0,   0,   0,   0,   0,   0
YPK_0086,   0,   0,   0,   0,   0,   0
YPK_0087,   0,   1,   0,   0,   0,   0
YPK_0088,   6,   1,   8,  11,  10,   3
YPK_0089,   0,   0,   0,   0,   0,   1
YPK_0090,   0,   0,   0,   0,   0,   3
YPK_0091,   4,   2,   0,   0,   4,   2
YPK_0092,   1,   0,   2,   1,   0,   0
YPK_0093,   1,   0,   4,   1,   2,   3
YPK_0094,  14,   4,   7,   6,   7,   5
YPK_0095,   0,   0,   0,   0,   0,   0
YPK_0096,   4,   4,   2,   0,   0,   0
YPK_0097,   0,   0,   0,   2,   0,   4
YPK_0098,   2,   2,   3,   0,   0,   1
YPK_0099,   5,   0,   6,   0,   0,   1
YPK_0100,  23,  10,   8,   4,   8,   4
YPK_0101,  13,   4,   4,   9,   0,   8
YPK_0102,   0,   0,   0,   1,   0,   2
YPK_0103,   0,   6,   1,   8,   0,   3
YPK_0104,   0,   0,   6,   0,   0,   1
YPK_0105,  13,   2,   0,   7,   0,   3
YPK_0106,   2,   0,   0,   2,   0,   1
YPK_0107,   0,   0,   2,   0,   0,   1
YPK_0108,   0,   0,   0,   0,   0,   0
YPK_0109,   0,   0,   0,   0,   0,   0
YPK_0110,   0,   0,   0,   0,   0,   0
YPK_0111,   0,   2,   0,   0,   0,   0
YPK_0112,   0,   2,   0,   0,   2,   0
YPK_0113,   2,   0,   2,   0,   0,   0
YPK_0114,   4,   6,   6,   4,   2,   5
YPK_0115,   0,   5,   2,   6,   3,   4
YPK_0116,  10,   1,   6,   5,  17,   4
YPK_0117,   6,   0,   5,   2,   0,   1
YPK_0118,   0,   0,   0,   0,   0,   0
YPK_0119,  30,  32,  50,  18,  36,  26
YPK_0120,  67,  77,  71,  28,  56,  18
YPK_0121,   0,   4,   0,   2,   0,   0
YPK_0122,   6,  14,   2,   2,   6,   4
YPK_0123,   0,   1,   2,   0,   2,   1
YPK_0124,   4,  12,   2,   0,   2,   1
YPK_0125,   0,   0,   0,   0,   0,   0
YPK_0126,   0,   0,   0,   0,   0,   0
YPK_0127,   4,   1,   2,   0,   2,   0
YPK_0128,   2,   0,   0,   2,   0,   1
YPK_0129,   6,   7,   1,   2,   5,   2
YPK_0130,   0,   8,   4,   4,   2,   3
YPK_0131,   2,   4,   2,   0,   0,   1
YPK_0132,   0,   0,   2,   2,   0,   1
YPK_0133,   0,   2,   2,   0,   0,   0
YPK_0134,   0,   2,   0,   0,   3,   0
YPK_0135,   0,   0,   2,   0,   3,   0
YPK_0136,   2,   3,   2,   0,   4,   2
YPK_0137,   0,   0,   0,   0,   0,   0
YPK_0138,   1,   0,   1,   0,   0,   0
YPK_0139,   4,   0,   1,   0,   0,   0
YPK_0140,   2,   0,   2,   0,   4,   0
YPK_0141,   9,  12,  18,  11,  12,   9
YPK_0142,   0,   0,   0,   0,   0,   0
YPK_0143,   0,   0,   0,   0,   0,   0
YPK_0144,   0,   0,   0,   0,   0,   0
YPK_0145,  11,  14,  18,   2,   8,   2
YPK_0146,   0,   2,   4,   0,   0,   0
YPK_0147,   5,  12,   6,   8,  12,   6
YPK_0148,   2,  10,   3,   6,   2,   3
YPK_0149,  21,   8,  11,   2,  22,   9
YPK_0150,  15,   9,  25,   5,  15,   4
YPK_0151,  96, 113,  98,  91,  74,  59
YPK_0152,   4,   6,  32,  16,  22,   8
YPK_0153,   0,   0,   0,   0,   0,   0
YPK_0154,   0,   0,   0,   0,   0,   0
YPK_0155,   0,   0,   0,   0,   0,   0
YPK_0156,   0,   0,   0,   0,   1,   0
YPK_0157,  10,   6,   3,   4,   8,   9
YPK_0158,   2,   8,   2,   0,   1,   1
YPK_0159,   5,   2,   8,   0,   4,   1
YPK_0160,  30,  26,  28,  14,  17,  11
YPK_0161,  43,  45,  57,  66, 100,  35
YPK_0162,   4,   2,   7,  49,  52,  26
YPK_0163,  10,   6,  12,   4,   4,   3
YPK_0164,   0,   0,   0,   0,   0,   0
YPK_0165,   0,   0,   0,   4,   2,   0
YPK_0166,   0,   0,   0,   0,   0,   0
YPK_0167,   1,   0,   0,   1,   0,   0
YPK_0168,   2,   4,   4,   1,   0,   2
YPK_0169,   0,   0,   0,   4,   0,   1
