,Geneid,Chr,Start,End,Strand,Length,sampleTreat_1.sam,sampleTreat_2.sam,sampleTreat_3.sam,sampleCtrl_1.sam,sampleCtrl_2.sam,sampleCtrl_3.sam,sampleTreat_1.sam.tpm,sampleTreat_2.sam.tpm,sampleTreat_3.sam.tpm,sampleCtrl_1.sam.tpm,sampleCtrl_2.sam.tpm,sampleCtrl_3.sam.tpm,sampleTreat_1.sam.cpm,sampleTreat_2.sam.cpm,sampleTreat_3.sam.cpm,sampleCtrl_1.sam.cpm,sampleCtrl_2.sam.cpm,sampleCtrl_3.sam.cpm
0,YPK_0001,NC_010465,37,1389,+,1353,5,4,19,2,6,2,82.1296,64.0273,312.4351,40.1565,115.2275,48.8871,148.5134,121.4255,619.4777,76.7342,220.135,89.4815
1,YPK_0002,NC_010465,1394,2494,+,1101,7,12,8,8,14,6,141.2988,236.0462,161.6615,197.3905,330.4027,180.2297,207.9187,364.2766,260.8327,306.9368,513.6484,268.4444
2,YPK_0003,NC_010465,2667,3752,+,1086,0,7,0,0,1,0,0.0,139.5955,0.0,0.0,23.9262,0.0,0.0,212.4947,0.0,0.0,36.6892,0.0
3,YPK_0004,NC_010465,3772,6186,+,2415,27,40,28,34,30,19,248.4702,358.7121,257.9555,382.4595,322.7802,260.195,801.9723,1214.2554,912.9145,1304.4813,1100.6751,850.0738
4,YPK_0005,NC_010465,6402,7211,+,810,2,4,2,2,0,1,54.8748,106.9493,54.935,67.0762,0.0,40.8298,59.4054,121.4255,65.2082,76.7342,0.0,44.7407
5,YPK_0006,NC_010465,7529,7696,+,168,0,2,0,0,2,0,0.0,257.8243,0.0,0.0,309.3311,0.0,0.0,60.7128,0.0,0.0,73.3783,0.0
6,YPK_0007,NC_010465,7806,8759,-,954,4,0,3,0,0,0,93.1836,0.0,69.9644,0.0,0.0,0.0,118.8107,0.0,97.8123,0.0,0.0,0.0
7,YPK_0008,NC_010465,8753,9715,-,963,4,2,4,5,3,4,92.3127,44.9787,92.414,141.0481,80.9464,137.3714,118.8107,60.7128,130.4164,191.8355,110.0675,178.9629
8,YPK_0009,NC_010465,9923,11224,+,1302,0,6,6,0,0,1,0.0,99.803,102.5284,0.0,0.0,25.401,0.0,182.1383,195.6245,0.0,0.0,44.7407
9,YPK_0010,NC_010465,11264,11602,-,339,0,8,2,0,0,0,0.0,511.0853,131.2606,0.0,0.0,0.0,0.0,242.8511,65.2082,0.0,0.0,0.0
10,YPK_0011,NC_010465,11970,12383,+,414,2,2,6,5,9,10,107.3637,104.6244,322.4444,328.0903,564.8654,798.8443,59.4054,60.7128,195.6245,191.8355,330.2025,447.4073
11,YPK_0012,NC_010465,12664,13128,+,465,8,2,18,16,17,18,382.3532,93.1494,861.2387,934.7397,949.9457,1280.2125,237.6214,60.7128,586.8736,613.8735,623.7159,805.3331
12,YPK_0013,NC_010465,13501,15159,+,1659,14,12,16,0,6,0,187.5467,156.6527,214.5742,0.0,93.974,0.0,415.8375,364.2766,521.6654,0.0,220.135,0.0
13,YPK_0014,NC_010465,15272,16642,-,1371,2,0,4,0,0,1,32.4205,0.0,64.9122,0.0,0.0,24.1227,59.4054,0.0,130.4164,0.0,0.0,44.7407
14,YPK_0015,NC_010465,16993,17436,-,444,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,YPK_0016,NC_010465,17850,19913,-,2064,6,2,6,11,12,7,64.6055,20.9857,64.6764,144.7794,151.0687,112.1633,178.2161,60.7128,195.6245,422.0381,440.27,313.1851
16,YPK_0017,NC_010465,20183,21163,-,981,12,0,6,6,14,6,271.8566,0.0,136.0775,166.1521,370.8189,202.2762,356.4321,0.0,195.6245,230.2026,513.6484,268.4444
17,YPK_0018,NC_010465,21718,22362,+,645,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,YPK_0019,NC_010465,22493,23152,-,660,10,6,0,0,0,0,336.7315,196.884,0.0,0.0,0.0,0.0,297.0268,182.1383,0.0,0.0,0.0,0.0
